id,name,internal,catchment_id,created,last_modified,version
227,Tyne (South),FALSE,130,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
228,Tywi / Towy,FALSE,131,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
229,Unknown Anglian,TRUE,132,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
230,Unknown Eng and Wales,TRUE,133,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
231,Unknown Midland,TRUE,134,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
232,Unknown NE,TRUE,135,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
233,Unknown NW,TRUE,136,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
234,Unknown Southern,TRUE,138,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
235,Unknown SW,TRUE,137,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
236,Unknown Thames,TRUE,139,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
237,Unknown Wales,TRUE,140,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
238,Ure,FALSE,94,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
239,Usk,FALSE,141,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
240,Vyrnwy,FALSE,108,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
241,Walkham,FALSE,117,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
242,Wandle,FALSE,142,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
243,Wansbeck,FALSE,143,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
244,Wear,FALSE,144,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
245,Wenning,FALSE,78,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
246,Wharfe,FALSE,94,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
247,Witham,FALSE,145,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
248,Wnion,FALSE,82,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
249,Wye,FALSE,146,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
250,Wygyr Anglesea,FALSE,147,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
251,Wyre NW,FALSE,148,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
252,Wyre Wales,FALSE,149,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
253,Yare,FALSE,150,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
254,Yarty,FALSE,13,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
255,Yealm,FALSE,151,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
256,Yscir,FALSE,141,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
